design,folder,part_a_source,part_b_source,printer,file_type,file_name,sku,theme,print_time_h,objects_pre_merge,color_changes,model_material_g,total_material_g,colors_used,per_color_g,time_add_per_wig_min,filament_per_unit_g,time_per_gram_min,waste_per_unit_g,throughput_wig_day,plate_utilization_pct,object_area_mm2,available_area_mm2,bed_area_mm2,exclusion_area_mm2,calibration_area_mm2,calibration_estimated,prime_tower_bbox,prime_tower_area_mm2,objects_on_plate,total_layers,print_height_mm,effective_layer_height_mm,variable_layer_height,layer_height_min_mm,layer_height_max_mm,layer_height_mean_mm,travel_distance_mm,travel_moves,travel_ratio_pct,retractions,z_hops,layers_gcode,total_extruded_filament_mm,feature_mix_pct,feature_filament_mm,prime_tower_filament_mm,support_filament_mm,outer_wall_loops,tool_changes_gcode,outer_loops_per_layer,layer_time_min_mean,layer_time_min_max,object_count_gcode,object_filament_mm_mean,object_filament_mm_min,object_filament_mm_max,color_changes_per_layer
X1C_PoisonPuff_Fantasy,C:\ZB_Designs\Fantasy\X1C_Fantasy\X1C_Standard_Fantasy\X1C_PoisonPuff_Fantasy,X1C_PoisonPuff_Fantasy_Data.tsv,X1C_PoisonPuff_Fantasy_Full.gcode.3mf,X1C,Standard,PoisonPuff_Fantasy,,Fantasy,22.93,88,108,253.97,311.9,4,"[{""grams"": 68.26, ""color"": ""Esun Purple""}, {""grams"": 225.67, ""color"": ""Esun Peak Green""}, {""grams"": 12.12, ""color"": ""Esun Cold White""}, {""grams"": 5.85, ""color"": ""Esun Magenta""}]",13.03,2.89,5.42,0.66,92.1,70.9,43285.2,61027.5,65536.0,504.0,3192.0,False,"[30.52, 15.0, 80.52, 31.25]",812.5,45,80,12.46,0.156,True,0.08,0.2,0.137,1866835.9,916222,40.5,789141,127164,80,184123.3,"{""outer_wall"": 40.1, ""inner_wall"": 24.3, ""infill"": 23.7, ""prime_tower"": 11.1, ""bridge"": 0.7, ""other"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""inner_wall"": 44722.5, ""outer_wall"": 73888.4, ""infill"": 43592.5, ""prime_tower"": 20347.2, ""overhang"": 80.6, ""bridge"": 1350.4}",20347.2,0.0,49173,111,614.7,17.3,59.0,45,3637.8,1858.1,3733.5,1.35
X1C_RockDragon_Fantasy,C:\ZB_Designs\Fantasy\X1C_Fantasy\X1C_Standard_Fantasy\X1C_RockDragon_Fantasy,X1C_RockDragon_Fantasy_Data.tsv,X1C_RockDragon_Fantasy_Full.gcode.3mf,X1C,Standard,RockDragon_Fantasy,,Fantasy,28.02,82,104,278.57,314.78,3,"[{""grams"": 12.85, ""color"": ""Esun Cold White""}, {""grams"": 59.06, ""color"": ""Esun Gray""}, {""grams"": 242.87, ""color"": ""Esun Silver""}]",18.2,3.4,6.03,0.44,70.2,75.4,46319.2,61460.0,65536.0,504.0,3192.0,False,"[32.2, 15.0, 72.2, 24.5]",380.0,42,85,14.7,0.173,True,0.113,0.2,0.159,2589999.2,1288497,46.4,1081144,168694,85,221983.7,"{""outer_wall"": 45.7, ""inner_wall"": 24.1, ""infill"": 23.8, ""prime_tower"": 5.8, ""bridge"": 0.5, ""other"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""inner_wall"": 53546.1, ""outer_wall"": 101546.8, ""infill"": 52757.7, ""prime_tower"": 12882.4, ""overhang"": 13.0, ""bridge"": 1096.1}",12882.4,0.0,85282,107,1003.3,19.9,69.0,42,4976.5,2544.6,5126.4,1.22
X1C_RockPuff_Fantasy,C:\ZB_Designs\Fantasy\X1C_Fantasy\X1C_Standard_Fantasy\X1C_RockPuff_Fantasy,X1C_RockPuff_Fantasy_Data.tsv,X1C_RockPuff_Fantasy_Full.gcode.3mf,X1C,Standard,RockPuff_Fantasy,,Fantasy,22.63,89,126,259.98,307.06,4,"[{""grams"": 9.78, ""color"": ""Esun Cold White""}, {""grams"": 9.29, ""color"": ""Esun Black""}, {""grams"": 220.35, ""color"": ""Esun Silver""}, {""grams"": 67.64, ""color"": ""Esun Gray""}]",12.6,2.92,5.22,0.53,94.4,74.8,45658.8,61027.5,65536.0,504.0,3192.0,False,"[30.2, 15.0, 80.2, 31.25]",812.5,45,85,12.42,0.146,True,0.08,0.2,0.131,2293570.7,755909,44.4,608929,107295,85,164659.1,"{""outer_wall"": 40.0, ""infill"": 27.7, ""inner_wall"": 21.4, ""prime_tower"": 10.1, ""bridge"": 0.7, ""other"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""inner_wall"": 35169.0, ""outer_wall"": 65810.9, ""infill"": 45650.1, ""prime_tower"": 16699.9, ""overhang"": 1.1, ""bridge"": 1186.5}",16699.9,0.0,47294,129,556.4,16.06,53.0,45,3286.6,1666.0,3334.8,1.48
X1C_SkeletonDragon_Fantasy,C:\ZB_Designs\Fantasy\X1C_Fantasy\X1C_Standard_Fantasy\X1C_SkeletonDragon_Fantasy,X1C_SkeletonDragon_Fantasy_Data.tsv,X1C_SkeletonDragon_Fantasy_Full.gcode.3mf,X1C,Standard,SkeletonDragon_Fantasy,,Fantasy,32.15,78,70,293.24,332.88,2,"[{""grams"": 138.48, ""color"": ""Esun Cold White""}, {""grams"": 194.4, ""color"": ""Esun Black""}]",22.79,3.76,6.58,0.51,58.2,71.0,43753.5,61638.4,65536.0,504.0,3192.0,False,"[31.47, 15.0, 61.47, 21.72]",201.6,40,86,14.67,0.171,True,0.11,0.2,0.165,2430711.6,1732834,42.3,1500918,232537,86,284478.7,"{""outer_wall"": 44.8, ""inner_wall"": 29.3, ""infill"": 20.5, ""prime_tower"": 4.8, ""bridge"": 0.5, ""other"": 0.0, ""overhang"": 0.0}","{""other"": 141.6, ""inner_wall"": 83415.2, ""outer_wall"": 127461.8, ""infill"": 58240.9, ""prime_tower"": 13762.7, ""overhang"": 37.7, ""bridge"": 1418.8}",13762.7,0.0,104599,73,1216.3,22.59,74.0,40,6765.1,3459.5,6985.1,0.81
X1C_SkeletonPuff_Fantasy,C:\ZB_Designs\Fantasy\X1C_Fantasy\X1C_Standard_Fantasy\X1C_SkeletonPuff_Fantasy,X1C_SkeletonPuff_Fantasy_Data.tsv,X1C_SkeletonPuff_Fantasy_Full.gcode.3mf,X1C,Standard,SkeletonPuff_Fantasy,,Fantasy,25.52,89,88,262.17,311.87,3,"[{""grams"": 96.0, ""color"": ""Esun Cold White""}, {""grams"": 211.13, ""color"": ""Esun Black""}, {""grams"": 4.74, ""color"": ""Esun Yellow""}]",15.08,2.95,5.84,0.56,83.7,71.6,43897.0,61330.0,65536.0,504.0,3192.0,False,"[30.77, 15.0, 60.77, 32.0]",510.0,45,87,13.18,0.151,True,0.085,0.2,0.131,2108822.2,1162242,41.7,1013120,167219,87,215849.0,"{""outer_wall"": 42.6, ""inner_wall"": 29.9, ""infill"": 19.3, ""prime_tower"": 8.0, ""bridge"": 0.2, ""other"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""inner_wall"": 64508.7, ""outer_wall"": 91858.0, ""infill"": 41610.4, ""prime_tower"": 17277.3, ""overhang"": 0.9, ""bridge"": 452.1}",17277.3,0.0,66689,91,766.5,17.7,53.0,45,4410.5,2217.2,4493.6,1.01
X1C_TrollGirl_Fantasy,C:\ZB_Designs\Fantasy\X1C_Fantasy\X1C_Standard_Fantasy\X1C_TrollGirl_Fantasy,X1C_TrollGirl_Fantasy_Data.tsv,X1C_TrollGirl_Fantasy_Full.gcode.3mf,X1C,Standard,TrollGirl_Fantasy,,Fantasy,28.17,77,207,254.39,356.52,4,"[{""grams"": 32.34, ""color"": ""Esun Cold White""}, {""grams"": 67.49, ""color"": ""Esun Black""}, {""grams"": 142.12, ""color"": ""Esun Pink""}, {""grams"": 114.57, ""color"": ""Esun Peak Green""}]",16.64,3.3,6.64,1.33,65.6,71.9,43919.5,61082.5,65536.0,504.0,3192.0,False,"[30.43, 15.0, 60.43, 40.25]",757.5,39,81,12.31,0.152,True,0.08,0.2,0.141,2298879.2,1092586,44.8,906270,149751,81,221626.4,"{""outer_wall"": 38.8, ""infill"": 23.7, ""inner_wall"": 21.1, ""prime_tower"": 16.2, ""bridge"": 0.1, ""other"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""inner_wall"": 46821.8, ""outer_wall"": 86073.1, ""infill"": 52459.6, ""prime_tower"": 35847.0, ""overhang"": 65.4, ""bridge"": 218.0}",35847.0,0.0,66007,210,814.9,21.02,53.0,39,4763.7,2404.7,4857.3,2.56
X1C_Troll_Fantasy,C:\ZB_Designs\Fantasy\X1C_Fantasy\X1C_Standard_Fantasy\X1C_Troll_Fantasy,X1C_Troll_Fantasy_Data.tsv,X1C_Troll_Fantasy_Full.gcode.3mf,X1C,Standard,Troll_Fantasy,,Fantasy,25.85,95,141,265.25,341.06,4,"[{""grams"": 11.94, ""color"": ""Esun Cold White""}, {""grams"": 15.34, ""color"": ""Esun Black""}, {""grams"": 170.23, ""color"": ""Esun Peak Green""}, {""grams"": 143.55, ""color"": ""Esun Very Perri""}]",13.26,2.79,5.85,0.8,88.2,77.5,47426.0,61208.8,65536.0,504.0,3192.0,False,"[28.7, 15.0, 53.7, 40.25]",631.2,48,81,12.27,0.151,True,0.084,0.203,0.147,2064790.6,926546,41.1,758251,140016,81,206250.1,"{""outer_wall"": 40.2, ""infill"": 26.4, ""inner_wall"": 19.9, ""prime_tower"": 12.9, ""bridge"": 0.5, ""other"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""inner_wall"": 41131.3, ""outer_wall"": 83007.7, ""infill"": 54516.0, ""prime_tower"": 26505.4, ""bridge"": 932.3, ""overhang"": 15.9}",26505.4,0.0,58106,144,717.4,19.29,51.0,48,3743.5,1890.8,3798.3,1.74
X1C_Unicorn_Fantasy,C:\ZB_Designs\Fantasy\X1C_Fantasy\X1C_Standard_Fantasy\X1C_Unicorn_Fantasy,X1C_Unicorn_Fantasy_Data.tsv,X1C_Unicorn_Fantasy_Full.gcode.3mf,X1C,Standard,Unicorn_Fantasy,,Fantasy,36.42,98,233,401.37,504.92,4,"[{""grams"": 26.55, ""color"": ""Esun Cold White""}, {""grams"": 44.1, ""color"": ""Esun Black""}, {""grams"": 330.07, ""color"": ""Esun Warm White""}, {""grams"": 104.2, ""color"": ""Esun Pink""}]",17.77,4.1,5.44,1.06,64.6,71.2,43763.8,61465.0,65536.0,504.0,3192.0,False,"[28.24, 15.0, 58.24, 27.5]",375.0,50,148,26.43,0.179,True,0.115,0.209,0.166,3090005.6,1423996,42.2,1143056,196591,148,298472.6,"{""outer_wall"": 37.9, ""infill"": 25.5, ""inner_wall"": 23.0, ""prime_tower"": 12.2, ""bridge"": 1.2, ""overhang"": 0.1, ""other"": 0.0}","{""other"": 141.6, ""inner_wall"": 68697.3, ""outer_wall"": 113076.4, ""infill"": 76200.3, ""prime_tower"": 36503.8, ""overhang"": 213.4, ""bridge"": 3639.8}",36503.8,0.0,92299,236,623.6,14.81,47.0,50,5239.3,2687.1,5402.8,1.57
X1C_WaterDragon_Fantasy,C:\ZB_Designs\Fantasy\X1C_Fantasy\X1C_Standard_Fantasy\X1C_WaterDragon_Fantasy,X1C_WaterDragon_Fantasy_Data.tsv,X1C_WaterDragon_Fantasy_Full.gcode.3mf,X1C,Standard,WaterDragon_Fantasy,,Fantasy,23.3,78,100,238.5,292.06,3,"[{""grams"": 19.6, ""color"": ""Esun Cold White""}, {""grams"": 234.72, ""color"": ""Esun Light Blue""}, {""grams"": 37.74, ""color"": ""Esun Blue""}]",15.27,3.06,5.86,0.69,80.3,71.6,44126.8,61600.0,65536.0,504.0,3192.0,False,"[29.56, 15.0, 59.56, 23.0]",240.0,40,73,13.8,0.189,True,0.142,0.2,0.18,1999951.8,944092,45.8,797864,139938,73,194378.7,"{""outer_wall"": 46.0, ""inner_wall"": 22.8, ""infill"": 20.9, ""prime_tower"": 9.7, ""bridge"": 0.6, ""other"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""inner_wall"": 44349.8, ""outer_wall"": 89398.2, ""infill"": 40543.4, ""prime_tower"": 18759.1, ""overhang"": 36.4, ""bridge"": 1150.1}",18759.1,0.0,66570,103,911.9,19.29,72.0,40,4388.5,2239.7,4514.6,1.37
X1C_WaterPuff_Fantasy,C:\ZB_Designs\Fantasy\X1C_Fantasy\X1C_Standard_Fantasy\X1C_WaterPuff_Fantasy,X1C_WaterPuff_Fantasy_Data.tsv,X1C_WaterPuff_Fantasy_Full.gcode.3mf,X1C,Standard,WaterPuff_Fantasy,,Fantasy,21.4,89,93,253.04,302.57,3,"[{""grams"": 14.01, ""color"": ""Esun Cold White""}, {""grams"": 53.08, ""color"": ""Esun Blue""}, {""grams"": 235.48, ""color"": ""Esun Light Blue""}]",12.24,2.84,5.07,0.56,99.8,71.3,43779.0,61375.0,65536.0,504.0,3192.0,False,"[35.44, 15.0, 65.44, 30.5]",465.0,45,78,12.45,0.16,True,0.087,0.2,0.127,1746169.5,861225,39.7,702281,108349,78,164553.7,"{""outer_wall"": 40.9, ""infill"": 26.4, ""inner_wall"": 21.4, ""prime_tower"": 10.5, ""bridge"": 0.6, ""other"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""inner_wall"": 35199.2, ""outer_wall"": 67376.1, ""infill"": 43492.7, ""prime_tower"": 17337.6, ""overhang"": 73.5, ""bridge"": 933.0}",17337.6,0.0,49117,96,629.7,16.56,52.0,45,3269.5,1660.2,3333.6,1.19
X1C_Werewolf_Fantasy,C:\ZB_Designs\Fantasy\X1C_Fantasy\X1C_Standard_Fantasy\X1C_Werewolf_Fantasy,X1C_Werewolf_Fantasy_Data.tsv,X1C_Werewolf_Fantasy_Full.gcode.3mf,X1C,Standard,Werewolf_Fantasy,,Fantasy,27.87,82,196,248.94,336.04,4,"[{""grams"": 40.9, ""color"": ""Esun Cold White""}, {""grams"": 30.4, ""color"": ""Esun Black""}, {""grams"": 214.12, ""color"": ""Esun Light Brown""}, {""grams"": 50.62, ""color"": ""Esun Blue""}]",15.78,3.04,6.72,1.06,70.6,73.9,45351.0,61340.0,65536.0,504.0,3192.0,False,"[31.6, 15.0, 71.6, 27.5]",500.0,42,102,13.97,0.137,True,0.08,0.2,0.138,2301889.9,998216,44.9,806643,137134,102,205178.6,"{""outer_wall"": 43.5, ""infill"": 23.1, ""inner_wall"": 17.7, ""prime_tower"": 14.9, ""bridge"": 0.7, ""other"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""inner_wall"": 36380.8, ""outer_wall"": 89158.6, ""infill"": 47375.9, ""prime_tower"": 30668.7, ""overhang"": 15.7, ""bridge"": 1437.3}",30668.7,0.0,64906,199,636.3,16.46,62.0,42,4154.7,2146.7,4279.7,1.92
X1C_Winky_Fantasy,C:\ZB_Designs\Fantasy\X1C_Fantasy\X1C_Standard_Fantasy\X1C_Winky_Fantasy,X1C_Winky_Fantasy_Data.tsv,X1C_Winky_Fantasy_Full.gcode.3mf,X1C,Standard,Winky_Fantasy,,Fantasy,20.08,87,102,249.8,301.44,4,"[{""grams"": 19.63, ""color"": ""Esun Cold White""}, {""grams"": 17.75, ""color"": ""Esun Black""}, {""grams"": 256.51, ""color"": ""Sunlu Mint Green""}, {""grams"": 7.55, ""color"": ""Esun Pink""}]",11.44,2.87,4.82,0.59,104.0,72.1,44043.2,61082.5,65536.0,504.0,3192.0,False,"[29.15, 15.0, 59.15, 40.25]",757.5,44,73,11.84,0.162,True,0.08,0.2,0.132,1614638.1,711865,37.8,585575,93166,73,154025.0,"{""outer_wall"": 40.7, ""infill"": 28.4, ""inner_wall"": 18.8, ""prime_tower"": 11.7, ""bridge"": 0.3, ""other"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""inner_wall"": 28956.4, ""outer_wall"": 62637.2, ""infill"": 43766.2, ""prime_tower"": 18064.2, ""overhang"": 31.6, ""bridge"": 427.9}",18064.2,0.0,37850,105,518.5,16.62,58.0,44,3088.3,1546.5,3146.1,1.4
X1C_Witch_Pink_Fantasy,C:\ZB_Designs\Fantasy\X1C_Fantasy\X1C_Standard_Fantasy\X1C_Witch_Pink_Fantasy,X1C_Witch_Pink_Fantasy_Data.tsv,X1C_Witch_Pink_Fantasy_Full.gcode.3mf,X1C,Standard,Witch_Pink_Fantasy,,Fantasy,29.4,82,200,294.04,386.03,4,"[{""grams"": 24.34, ""color"": ""Esun Cold White""}, {""grams"": 185.72, ""color"": ""Esun Black""}, {""grams"": 73.29, ""color"": ""Esun Beige""}, {""grams"": 102.68, ""color"": ""Esun Pink""}]",16.79,3.59,6.0,1.12,66.9,72.5,44280.8,61065.0,65536.0,504.0,3192.0,False,"[29.58, 14.67, 49.58, 53.42]",775.0,42,90,13.94,0.155,True,0.08,0.2,0.15,3044191.0,1024872,48.2,832673,153996,90,232463.9,"{""outer_wall"": 41.2, ""inner_wall"": 22.3, ""infill"": 22.0, ""prime_tower"": 14.0, ""bridge"": 0.5, ""other"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""inner_wall"": 51892.5, ""outer_wall"": 95690.6, ""infill"": 51176.6, ""prime_tower"": 32461.6, ""overhang"": 8.3, ""bridge"": 1092.6}",32461.6,0.0,74139,203,823.8,19.73,80.0,42,4761.7,2404.1,4911.7,2.22
X1C_Witch_Purple_Fantasy,C:\ZB_Designs\Fantasy\X1C_Fantasy\X1C_Standard_Fantasy\X1C_Witch_Purple_Fantasy,X1C_Witch_Purple_Fantasy_Data.tsv,X1C_Witch_Purple_Fantasy_Full.gcode.3mf,X1C,Standard,Witch_Purple_Fantasy,,Fantasy,29.82,82,201,293.89,399.31,4,"[{""grams"": 35.03, ""color"": ""Esun Cold White""}, {""grams"": 192.93, ""color"": ""Esun Black""}, {""grams"": 78.21, ""color"": ""Esun Peak Green""}, {""grams"": 93.14, ""color"": ""Esun Very Perri""}]",16.85,3.58,6.09,1.29,66.0,72.5,44283.2,61065.0,65536.0,504.0,3192.0,False,"[30.07, 15.0, 50.07, 53.75]",775.0,42,90,13.94,0.155,True,0.08,0.2,0.15,3207741.5,1024433,49.5,830875,153590,90,236542.2,"{""outer_wall"": 40.5, ""inner_wall"": 21.8, ""infill"": 21.5, ""prime_tower"": 15.6, ""bridge"": 0.5, ""other"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""inner_wall"": 51660.8, ""outer_wall"": 95837.0, ""infill"": 50869.4, ""prime_tower"": 36936.0, ""overhang"": 8.3, ""bridge"": 1089.2}",36936.0,0.0,74156,204,824.0,20.01,81.0,42,4752.9,2423.3,4913.2,2.23
X1C_Wizard_Fantasy,C:\ZB_Designs\Fantasy\X1C_Fantasy\X1C_Standard_Fantasy\X1C_Wizard_Fantasy,X1C_Wizard_Fantasy_Data.tsv,X1C_Wizard_Fantasy_Full.gcode.3mf,X1C,Standard,Wizard_Fantasy,,Fantasy,33.03,89,193,282.67,376.29,4,"[{""grams"": 84.77, ""color"": ""Esun Cold White""}, {""grams"": 82.43, ""color"": ""Esun Beige""}, {""grams"": 193.61, ""color"": ""Esun Blue""}, {""grams"": 15.48, ""color"": ""Esun Yellow""}]",17.97,3.18,7.01,1.05,64.7,73.3,44744.0,61082.6,65536.0,504.0,3192.0,False,"[29.82, 15.0, 66.32, 35.75]",757.4,45,89,12.87,0.145,True,0.084,0.2,0.131,2929093.8,1294145,46.8,1076143,202707,89,270111.9,"{""outer_wall"": 40.2, ""inner_wall"": 26.9, ""infill"": 20.7, ""prime_tower"": 12.2, ""other"": 0.1, ""bridge"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""inner_wall"": 72545.3, ""outer_wall"": 108465.6, ""infill"": 55958.0, ""prime_tower"": 32835.5, ""overhang"": 25.7, ""bridge"": 140.2}",32835.5,0.0,85483,196,960.5,22.43,59.0,45,5272.6,2650.5,5358.9,2.17
X1C_Apple_Foodz,C:\ZB_Designs\Foodz\X1C_Foodz\X1C_Standard_Foodz\X1C_Apple_Foodz,X1C_Apple_Foodz_Data.tsv,X1C_Apple_Foodz_Full.gcode.3mf,X1C,Standard,Apple_Foodz,fud-sw-2623,Foodz,35.13,134,65,470.56,505.15,4,"[{""grams"": 17.65, ""color"": ""Esun Cold White""}, {""grams"": 12.8, ""color"": ""Esun Black""}, {""grams"": 445.26, ""color"": ""Esun Red""}, {""grams"": 29.44, ""color"": ""Esun Peak Green""}]",14.7,3.51,4.48,0.26,91.5,76.6,47209.0,61600.0,65536.0,504.0,3192.0,False,"[30.74, 15.0, 60.74, 23.0]",240.0,64,119,23.8,0.2,True,0.101,0.2,0.172,2059928.4,893940,30.2,697991,132605,119,232952.6,"{""outer_wall"": 38.4, ""inner_wall"": 31.6, ""infill"": 22.7, ""prime_tower"": 5.2, ""bridge"": 2.1, ""other"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""prime_tower"": 12089.2, ""inner_wall"": 73532.8, ""outer_wall"": 89349.1, ""infill"": 52929.2, ""bridge"": 4899.0, ""overhang"": 11.8}",12089.2,0.0,56027,68,470.8,17.79,46.0,64,3449.3,1649.6,4940.2,0.55
X1C_Avocado_Foodz,C:\ZB_Designs\Foodz\X1C_Foodz\X1C_Standard_Foodz\X1C_Avocado_Foodz,X1C_Avocado_Foodz_Data.tsv,X1C_Avocado_Foodz_Full.gcode.3mf,X1C,Standard,Avocado_Foodz,fud-sw-2616,Foodz,24.4,96,101,333.89,383.22,4,"[{""grams"": 9.5, ""color"": ""Esun Cold White""}, {""grams"": 168.87, ""color"": ""Esun Pine Green""}, {""grams"": 195.09, ""color"": ""Esun Matcha Green""}, {""grams"": 9.76, ""color"": ""Esun Light Brown""}]",13.28,3.48,4.38,0.51,94.4,73.6,45000.2,61108.8,65536.0,504.0,3192.0,False,"[29.18, 15.0, 74.18, 31.25]",731.2,50,79,12.35,0.156,True,0.08,0.2,0.136,2040889.6,1040975,35.7,789181,140026,79,210097.3,"{""outer_wall"": 41.8, ""infill"": 26.3, ""inner_wall"": 23.0, ""prime_tower"": 8.2, ""bridge"": 0.7, ""other"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""outer_wall"": 87718.0, ""prime_tower"": 17327.6, ""inner_wall"": 48256.2, ""infill"": 55157.7, ""overhang"": 8.3, ""bridge"": 1487.8}",17327.6,0.0,67656,104,856.4,18.65,60.0,50,3853.7,35.8,4039.7,1.28
X1C_Bacon_RARE_Foodz,C:\ZB_Designs\Foodz\X1C_Foodz\X1C_Standard_Foodz\X1C_Bacon_RARE_Foodz,X1C_Bacon_RARE_Foodz_Data.tsv,X1C_Bacon_RARE_Foodz_Full.gcode.3mf,X1C,Standard,Bacon_RARE_Foodz,fud-rw-2603,RARE Foodz,23.62,91,73,288.14,326.69,3,"[{""grams"": 57.57, ""color"": ""Esun Cold White""}, {""grams"": 6.42, ""color"": ""Esun Black""}, {""grams"": 262.7, ""color"": ""Sunlu Silk (Red Copper)""}]",13.84,3.17,4.92,0.42,92.5,71.0,43505.5,61277.5,65536.0,504.0,3192.0,False,"[31.29, 15.83, 76.29, 28.33]",562.5,46,56,9.24,0.165,True,0.08,0.2,0.121,1738110.2,908146,36.8,758299,135872,56,191407.7,"{""outer_wall"": 41.0, ""infill"": 30.7, ""inner_wall"": 20.8, ""prime_tower"": 6.8, ""bridge"": 0.7, ""other"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""outer_wall"": 78408.6, ""inner_wall"": 39719.2, ""prime_tower"": 12928.8, ""infill"": 58842.6, ""overhang"": 10.0, ""bridge"": 1356.9}",12928.8,0.0,63511,76,1134.1,25.62,87.0,46,3877.8,1976.3,3937.3,1.3
X1C_Banana_Foodz,C:\ZB_Designs\Foodz\X1C_Foodz\X1C_Standard_Foodz\X1C_Banana_Foodz,X1C_Banana_Foodz_Data.tsv,X1C_Banana_Foodz_Full.gcode.3mf,X1C,Standard,Banana_Foodz,fud-sw-2617,Foodz,25.22,98,99,284.72,336.56,4,"[{""grams"": 9.41, ""color"": ""Esun Cold White""}, {""grams"": 16.18, ""color"": ""Esun Black""}, {""grams"": 296.06, ""color"": ""Esun Yellow""}, {""grams"": 14.91, ""color"": ""Esun Peak Green""}]",13.31,2.91,5.31,0.53,93.3,70.7,43374.0,61330.0,65536.0,504.0,3192.0,False,"[31.11, 15.0, 61.11, 32.0]",510.0,50,113,14.78,0.131,True,0.08,0.2,0.115,1932533.6,1005045,34.6,779505,133664,113,193542.4,"{""outer_wall"": 37.3, ""infill"": 31.7, ""inner_wall"": 21.2, ""prime_tower"": 9.4, ""bridge"": 0.3, ""other"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""inner_wall"": 41111.4, ""outer_wall"": 72135.1, ""infill"": 61431.9, ""prime_tower"": 18183.6, ""overhang"": 7.0, ""bridge"": 531.9}",18183.6,0.0,56747,102,502.2,13.44,51.0,50,3505.5,1813.3,3583.7,0.88
X1C_Blackberry_LEGENDARY_Foodz,C:\ZB_Designs\Foodz\X1C_Foodz\X1C_Standard_Foodz\X1C_Blackberry_LEGENDARY_Foodz,X1C_Blackberry_LEGENDARY_Foodz_Data.tsv,X1C_Blackberry_LEGENDARY_Foodz_Full.gcode.3mf,X1C,Standard,Blackberry_LEGENDARY_Foodz,fud-rw-2606,RARE Foodz,40.08,100,113,274.86,337.42,4,"[{""grams"": 7.61, ""color"": ""Esun Cold White""}, {""grams"": 6.64, ""color"": ""Esun Black""}, {""grams"": 255.7, ""color"": ""Eryone Silk (RYB)""}, {""grams"": 67.47, ""color"": ""Esun Peak Green""}]",21.59,2.75,8.75,0.63,59.9,71.0,43355.8,61100.0,65536.0,504.0,3192.0,False,"[29.31, 15.0, 69.31, 33.5]",740.0,51,100,12.75,0.128,True,0.08,0.2,0.115,2472181.3,932225,40.3,738883,127573,100,194845.7,"{""outer_wall"": 36.4, ""infill"": 31.6, ""inner_wall"": 20.5, ""prime_tower"": 11.2, ""bridge"": 0.3, ""other"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""inner_wall"": 39949.7, ""outer_wall"": 70843.1, ""infill"": 61552.7, ""prime_tower"": 21824.1, ""overhang"": 12.4, ""bridge"": 522.0}",21824.1,0.0,56779,116,567.8,24.18,55.0,51,3390.8,1672.9,3496.6,1.13
X1C_Broccoli_Foodz,C:\ZB_Designs\Foodz\X1C_Foodz\X1C_Standard_Foodz\X1C_Broccoli_Foodz,X1C_Broccoli_Foodz_Data.tsv,X1C_Broccoli_Foodz_Full.gcode.3mf,X1C,Standard,Broccoli_Foodz,fud-sw-2612,Foodz,20.67,88,112,246.33,301.53,4,"[{""grams"": 6.85, ""color"": ""Esun Cold White""}, {""grams"": 3.62, ""color"": ""Esun Black""}, {""grams"": 164.56, ""color"": ""Esun Peak Green""}, {""grams"": 126.5, ""color"": ""Esun Pine Green""}]",11.51,2.8,5.03,0.63,102.2,71.1,43455.8,61082.5,65536.0,504.0,3192.0,False,"[30.35, 15.0, 60.35, 40.25]",757.5,45,85,13.48,0.159,True,0.08,0.2,0.131,1838338.6,621907,42.0,502115,82056,85,144990.2,"{""outer_wall"": 35.9, ""infill"": 30.6, ""inner_wall"": 19.7, ""prime_tower"": 13.4, ""bridge"": 0.4, ""other"": 0.1, ""overhang"": 0.0}","{""other"": 141.6, ""inner_wall"": 28570.3, ""outer_wall"": 51986.6, ""infill"": 44385.4, ""prime_tower"": 19363.7, ""overhang"": 2.6, ""bridge"": 539.9}",19363.7,0.0,37529,115,441.5,14.65,69.0,45,2790.0,1431.1,2875.0,1.32
